Date,0,1,2,3
1966-04-09,372,28149,26437,12946
1966-09-11,373,2455,9367,8629
1967-01-20,374,12033,10272,10263
1967-02-10,375,14803,29528,7234
1967-03-21,376,7640,4173,19765
1967-08-12,377,24282,29741,17217
1967-11-22,378,13354,25650,5194
1968-09-02,379,24976,4333,1502
1969-10-16,380,25487,110,3234
1970-01-24,381,10183,16558,23685
1970-04-26,382,6757,4493,10616
1970-05-08,383,26502,29914,28250
1971-09-01,384,27284,28669,29077
1971-09-30,385,6668,18310,9055
1972-09-20,386,11836,22886,16219
1972-11-04,387,12358,667,5011
1973-01-31,388,24217,12327,5031
1973-07-25,389,12513,2043,12722
1973-07-30,390,2717,9747,4479
1973-08-16,391,3990,1249,12779
1973-10-25,392,20305,14836,27554
1974-06-22,393,1555,16741,16637
1974-10-13,394,13959,22599,15899
1976-04-19,395,9666,11723,18864
1977-01-20,396,17740,4627,830
1977-01-23,397,8060,15617,6578
1977-03-30,398,20200,25578,25592
1978-01-01,399,24260,15498,12200
1978-01-08,400,11829,12802,24776
1978-06-02,401,10818,14718,5482
1978-10-20,402,15672,27265,8729
1978-11-06,403,16872,16306,29153
1979-02-22,404,175,22382,27498
1979-03-30,405,29334,14816,22846
1981-06-13,406,11265,4683,8374
1981-12-01,407,27216,1634,12794
1982-02-08,408,5525,16619,1583
1982-11-30,409,17196,25068,11189
1983-04-18,410,18304,16499,5998
1983-08-24,411,20334,22310,26345
1984-09-22,412,24426,26305,20577
1985-01-05,413,18254,10496,29362
1985-01-25,414,14576,9505,3737
1985-05-16,415,8751,11109,16595
1985-07-11,416,3544,23433,22194
1986-04-24,417,15057,23514,28301
1987-01-25,418,27705,10441,14803
1988-02-09,419,16459,4614,28124
1988-03-26,420,6811,4355,23932
1988-09-22,421,9530,21419,9438
1989-02-02,422,11124,22483,26693
1989-11-25,423,6753,8252,24638
1990-02-18,424,10411,29203,6764
1990-03-23,425,5863,27233,13135
1991-03-03,426,10760,7110,12095
1991-03-10,427,18966,25441,19785
1991-04-17,428,1732,27590,29661
1991-06-06,429,3541,2706,19623
1991-08-10,430,26350,4160,24313
1992-03-18,431,13980,17614,13630
1992-08-18,432,4024,18926,1838
1992-11-16,433,18840,20094,23253
1993-02-18,434,20856,7958,23046
1993-03-12,435,16954,3600,6256
1994-02-01,436,28777,9186,27508
1994-05-14,437,1894,135,24049
1995-08-02,438,22936,27911,18161
1995-09-26,439,9873,19332,24394
1995-12-07,440,28901,2703,14186
1996-03-08,441,8753,23647,26611
1997-04-09,442,7463,12801,23692
1997-04-13,443,28417,8935,2443
1998-01-25,444,2747,14337,18423
1998-05-09,445,26958,25325,3452
1998-07-23,446,3654,3781,126
1998-10-20,447,7970,10890,23423
1999-01-31,448,11709,28831,18409
