Date,0,1,2,3
1942-01-28,758,26020,27207,21735
1942-01-29,759,29035,6572,28943
1942-01-30,760,13025,10164,15521
1942-01-31,761,14062,14792,22066
1942-02-01,762,29778,1503,18105
1942-02-02,763,2238,28678,19202
1942-02-03,764,2234,6977,28328
1942-02-04,765,19180,1869,20658
1942-02-05,766,23463,5149,25399
1942-02-06,767,7345,19543,10794
1942-02-07,768,18088,23941,18470
1942-02-08,769,19190,3335,2604
1942-02-09,770,15912,15183,23988
1942-02-10,771,7358,7356,26871
1942-02-11,772,1503,21742,17358
1942-02-12,773,2237,26879,8812
1942-02-13,774,19178,16641,13338
1942-02-14,775,26849,17733,8448
1942-02-15,776,2230,15179,29063
1942-02-16,777,11152,3333,18821
1942-02-17,778,8815,25035,13359
